model,missing_mechanism,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,n,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,pr_auc_mean,pr_auc_std,recall_class1_mean,recall_class1_std
CatBoost,MAR,0.8541,0.145,0.3942,0.9951,0.9076,0.097,36,0.7565,0.092,0.5177,0.0879,0.2337,0.0871,0.6574,0.2899
CatBoost,MCAR,0.7959,0.1678,0.3637,0.9927,0.8696,0.1126,36,0.7524,0.0831,0.4885,0.0932,0.2442,0.0979,0.7083,0.2856
CatBoost,MNAR,0.8711,0.1292,0.4988,0.9927,0.9193,0.0813,36,0.7168,0.0912,0.5209,0.0753,0.2095,0.0927,0.5602,0.2905
Gradient-Boosting,MAR,0.7311,0.1947,0.2372,0.9793,0.8219,0.1472,30,0.7322,0.0603,0.4456,0.0923,0.2033,0.0807,0.7333,0.2171
Gradient-Boosting,MCAR,0.7877,0.1845,0.3127,0.9805,0.8614,0.133,30,0.7028,0.0934,0.4706,0.0878,0.1692,0.0989,0.6167,0.2595
Gradient-Boosting,MNAR,0.8134,0.1797,0.3345,0.9866,0.8783,0.1272,30,0.7047,0.08,0.4793,0.0812,0.1656,0.0808,0.5944,0.2722
LightGBM,MAR,0.89,0.0646,0.7603,0.9866,0.9341,0.037,36,0.7975,0.0825,0.5231,0.0402,0.25,0.0835,0.7037,0.2112
LightGBM,MCAR,0.8546,0.1279,0.5389,0.9927,0.9098,0.0809,36,0.7567,0.0938,0.5147,0.0772,0.2077,0.0807,0.6574,0.273
LightGBM,MNAR,0.8645,0.141,0.5073,0.9927,0.9142,0.0913,36,0.7341,0.0973,0.5193,0.0794,0.1983,0.0851,0.6019,0.2908
Logistic-Regression,MAR,0.7289,0.2495,0.0389,0.9282,0.803,0.2404,30,0.7697,0.1178,0.4358,0.1328,0.1387,0.0421,0.8111,0.0724
Logistic-Regression,MCAR,0.6912,0.2082,0.0304,0.9842,0.7876,0.1965,30,0.7066,0.1084,0.4226,0.1128,0.1112,0.0339,0.7222,0.1657
Logistic-Regression,MNAR,0.7243,0.1787,0.2105,0.9696,0.8185,0.148,30,0.7508,0.1072,0.4387,0.0854,0.1153,0.0378,0.7778,0.1185
MLP,MAR,0.3493,0.3974,0.0474,0.9927,0.4053,0.3712,30,0.3745,0.0842,0.2074,0.185,0.0065,0.0039,0.4,0.2648
MLP,MCAR,0.1998,0.3158,0.0523,0.9915,0.2493,0.2975,30,0.3791,0.0632,0.1299,0.1481,0.0063,0.0027,0.5611,0.2417
MLP,MNAR,0.1848,0.276,0.0487,0.9927,0.246,0.2601,30,0.3578,0.0602,0.1281,0.1296,0.0066,0.0039,0.5333,0.2025
Random-Forest,MAR,0.9111,0.0737,0.736,0.9866,0.9455,0.0422,30,0.7374,0.1136,0.5321,0.0412,0.1619,0.0639,0.5611,0.2886
Random-Forest,MCAR,0.923,0.0817,0.6192,0.9903,0.9516,0.0489,30,0.68,0.1002,0.5345,0.0515,0.1622,0.0705,0.4333,0.2611
Random-Forest,MNAR,0.9229,0.0933,0.6618,0.9854,0.9509,0.0558,30,0.6882,0.1036,0.5383,0.049,0.1531,0.0714,0.45,0.2703
SVM,MAR,0.6616,0.2395,0.0304,0.8929,0.7559,0.2412,30,0.6476,0.0802,0.3975,0.1265,0.2506,0.0924,0.6333,0.1602
SVM,MCAR,0.6594,0.1772,0.2506,0.8747,0.7728,0.146,30,0.6382,0.0642,0.404,0.0776,0.2068,0.1058,0.6167,0.1646
SVM,MNAR,0.7482,0.1218,0.3394,0.9659,0.8432,0.0895,30,0.6746,0.0588,0.446,0.0555,0.2133,0.1095,0.6,0.1554
TabICL,MAR,0.9026,0.0336,0.8406,0.9842,0.9421,0.0186,36,0.8315,0.0895,0.5289,0.0235,0.3829,0.0185,0.7593,0.2087
TabICL,MCAR,0.8212,0.1193,0.5462,0.9842,0.8903,0.0763,36,0.8249,0.0817,0.4949,0.0639,0.3805,0.0703,0.8287,0.234
TabICL,MNAR,0.844,0.0756,0.6411,0.9757,0.9068,0.0469,36,0.8525,0.0846,0.4982,0.0344,0.3524,0.0617,0.8611,0.2089
TabPFN,MAR,0.9242,0.0401,0.7543,0.9708,0.9537,0.023,36,0.7642,0.0671,0.5358,0.0212,0.2612,0.063,0.6019,0.1656
TabPFN,MCAR,0.8996,0.0463,0.8078,0.983,0.9401,0.0261,36,0.8254,0.084,0.5283,0.0287,0.2619,0.0647,0.75,0.2089
TabPFN,MNAR,0.8695,0.088,0.5791,0.9477,0.921,0.0557,36,0.8079,0.0611,0.5098,0.0415,0.2462,0.0483,0.7454,0.1666
XGBoost,MAR,0.8393,0.1023,0.4769,0.9745,0.9024,0.0662,36,0.7835,0.0763,0.4945,0.0493,0.2177,0.0836,0.7269,0.2076
XGBoost,MCAR,0.7922,0.1175,0.5365,0.9684,0.8724,0.0766,36,0.785,0.0595,0.4733,0.0548,0.2032,0.0804,0.7778,0.1826
XGBoost,MNAR,0.7827,0.1421,0.3929,0.9891,0.864,0.0962,36,0.7734,0.0728,0.4773,0.0804,0.201,0.0953,0.7639,0.2267
